no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,2,3,0,0,0,188,2018,8,26,4,0.0,0.0,0.0,90.95,0,0
1,0,1,4,3,0,0,20,2018,7,11,4,0.0,0.0,0.0,139.0,0,0
2,0,0,4,0,0,0,36,2017,10,21,4,0.0,0.0,0.0,96.3,2,1
2,0,0,1,3,0,0,77,2018,5,7,4,0.0,0.0,0.0,116.1,1,1
1,0,1,1,0,0,0,32,2018,7,18,3,0.0,0.0,0.0,85.0,0,1
2,0,1,2,0,0,1,1,2017,8,14,1,0.0,0.0,0.0,0.0,0,1
2,0,1,2,0,0,0,35,2018,10,28,4,0.0,0.0,0.0,129.0,1,1
2,0,0,1,3,0,0,19,2018,9,24,4,0.0,0.0,0.0,149.0,1,0
2,0,2,5,0,0,0,39,2018,11,15,4,0.0,0.0,0.0,97.4,1,1
2,0,2,1,0,0,2,72,2018,5,1,4,0.0,0.0,0.0,140.4,1,0
2,0,0,2,1,0,0,39,2017,8,14,3,0.0,0.0,0.0,101.5,0,1
1,0,0,3,0,0,0,37,2018,10,13,3,0.0,0.0,0.0,95.0,0,1
2,0,0,2,0,0,0,57,2018,9,21,3,0.0,0.0,0.0,101.52,0,1
2,0,0,3,0,0,0,192,2018,8,9,4,0.0,0.0,0.0,94.5,1,0
1,1,2,3,1,0,0,76,2018,4,24,3,0.0,0.0,0.0,98.5,1,1
2,0,0,5,3,0,0,6,2018,3,22,4,0.0,0.0,0.0,88.92,0,1
0,2,2,5,0,0,1,40,2018,9,4,4,0.0,0.0,0.0,106.9,0,0
1,0,1,2,0,0,0,0,2018,3,7,3,0.0,0.0,0.0,75.0,0,1
2,0,0,4,0,0,2,30,2018,11,15,4,0.0,0.0,0.0,96.9,1,0
2,1,1,1,0,0,0,173,2018,8,15,4,0.0,0.0,0.0,121.5,0,0
2,0,0,1,0,0,0,152,2018,8,6,4,0.0,0.0,0.0,114.3,1,0
1,0,0,1,0,0,0,0,2018,2,6,4,0.0,0.0,0.0,79.0,0,1
2,0,0,1,0,0,0,93,2018,4,15,4,0.0,0.0,0.0,90.95,0,1
1,0,0,1,0,0,0,15,2018,2,2,2,0.0,0.0,0.0,65.0,0,1
2,0,1,2,0,0,0,69,2018,6,17,4,0.0,0.0,0.0,126.9,0,1
2,0,2,3,3,0,0,108,2018,12,24,4,0.0,0.0,0.0,97.0,1,0
2,0,1,3,0,0,0,36,2018,12,26,4,0.0,0.0,0.0,102.0,0,0
2,0,0,3,0,0,0,44,2018,2,17,3,0.0,0.0,0.0,75.0,0,1
2,0,1,2,0,0,0,79,2018,3,28,4,0.0,0.0,0.0,87.3,1,1
2,0,2,5,0,0,2,152,2018,7,21,4,0.0,0.0,0.0,114.63,2,0
1,0,0,2,1,0,0,68,2017,9,29,3,0.0,0.0,0.0,58.0,0,1
2,0,0,3,3,0,0,10,2018,6,21,4,0.0,0.0,0.0,112.33,1,1
2,0,1,4,0,0,0,336,2018,9,21,3,0.0,0.0,0.0,78.0,0,1
2,0,0,2,3,1,0,9,2018,10,6,4,0.0,0.0,0.0,149.0,1,1
1,0,0,1,0,0,0,1,2018,11,29,3,0.0,0.0,0.0,75.0,0,1
2,0,2,3,0,0,0,224,2018,8,21,4,0.0,0.0,0.0,90.95,1,1
2,0,0,3,3,0,0,134,2018,5,17,4,0.0,0.0,0.0,94.5,0,0
1,0,2,0,3,0,0,44,2018,10,2,4,0.0,0.0,0.0,102.6,1,1
1,0,0,1,0,1,0,1,2018,6,1,2,0.6931471805599453,1.0986122886681098,1.791759469228055,67.0,0,1
2,1,1,2,0,0,0,40,2018,6,27,4,0.0,0.0,0.0,128.1,0,0
2,0,2,2,0,0,2,47,2018,4,1,4,0.0,0.0,0.0,103.28,0,1
2,0,0,3,0,0,0,11,2018,6,21,4,0.0,0.0,0.0,124.33,1,1
1,0,0,3,0,0,0,113,2018,5,31,2,0.0,0.0,0.0,100.0,0,0
2,0,0,2,0,0,2,89,2018,7,14,4,0.0,0.0,0.0,127.8,1,0
2,0,0,2,0,0,0,22,2018,5,20,3,0.0,0.0,0.0,140.0,0,1
1,0,0,3,0,0,4,159,2018,5,26,4,0.0,0.0,0.0,187.85,0,0
1,0,0,1,0,0,2,3,2018,4,29,3,0.0,0.0,0.0,127.8,0,1
2,0,0,2,0,1,0,18,2018,6,8,4,0.0,0.0,0.0,121.0,2,1
3,1,0,1,0,0,4,31,2018,8,25,4,0.0,0.0,0.0,225.4,1,1
3,0,1,3,0,0,2,42,2018,8,29,4,0.0,0.0,0.0,144.23,0,0
2,0,0,3,0,0,0,112,2018,6,2,4,0.0,0.0,0.0,120.0,1,0
2,0,2,5,0,0,3,49,2018,2,22,3,0.6931471805599453,0.6931471805599453,0.0,91.44,0,0
1,0,1,2,0,0,0,91,2018,9,30,3,0.0,0.0,0.0,75.0,0,1
2,0,0,1,0,0,0,15,2018,12,3,4,0.0,0.0,0.0,111.0,0,1
1,0,1,0,0,0,0,1,2017,12,14,4,0.0,0.0,0.0,81.0,0,1
2,0,2,2,0,0,0,102,2018,3,25,3,0.0,0.0,0.0,58.0,0,1
2,0,2,2,0,0,0,134,2017,12,4,3,0.0,0.0,0.0,65.0,0,1
1,0,0,1,0,0,0,34,2018,1,26,2,0.0,0.0,0.0,59.0,0,1
2,0,1,2,0,0,0,209,2018,4,25,4,0.0,0.0,0.0,81.77,1,1
1,0,0,1,0,0,0,14,2018,3,16,3,0.0,0.0,0.0,82.4,0,1
2,0,1,1,0,0,1,0,2017,12,5,4,0.0,0.0,0.0,73.0,1,1
2,0,0,1,0,0,0,1,2018,9,29,4,0.0,0.0,0.0,106.2,1,1
2,0,1,0,3,0,0,50,2018,10,9,4,0.0,0.0,0.0,97.2,2,1
1,0,2,3,0,0,0,115,2018,2,27,3,0.0,0.0,0.0,76.0,0,1
2,0,0,2,1,0,0,39,2017,8,14,3,0.0,0.0,0.0,109.0,0,1
2,1,0,2,0,0,2,311,2018,11,10,1,0.0,0.0,0.0,9.0,2,1
2,0,1,3,1,0,0,99,2018,7,18,4,0.0,0.0,0.0,141.75,2,1
1,0,2,1,0,0,0,20,2017,10,11,2,0.0,0.0,0.0,65.0,0,1
2,0,0,2,0,0,0,112,2018,8,16,4,0.0,0.0,0.0,117.9,1,1
2,0,0,2,0,0,2,57,2018,4,22,4,0.0,0.0,0.0,118.8,0,0
2,0,1,1,1,0,0,301,2018,7,30,3,0.0,0.0,0.0,115.0,1,0
2,0,1,1,0,0,0,84,2018,10,3,4,0.0,0.0,0.0,118.8,3,1
1,0,0,2,0,0,0,164,2017,10,2,3,0.0,0.0,0.0,100.0,0,1
3,0,0,3,0,0,0,54,2018,12,20,3,0.0,0.0,0.0,98.1,1,1
2,0,1,2,0,0,2,51,2018,4,1,4,0.0,0.0,0.0,106.2,0,1
2,0,1,5,0,0,0,5,2017,8,10,4,0.0,0.0,0.0,90.0,2,1
2,0,0,2,3,0,0,117,2018,5,3,4,0.0,0.0,0.0,94.5,1,1
2,0,1,2,1,0,0,105,2017,10,12,3,0.0,0.0,0.0,110.0,0,0
2,0,0,2,0,0,0,32,2018,11,11,4,0.0,0.0,0.0,130.0,1,0
2,0,2,2,0,0,0,229,2018,10,22,4,0.0,0.0,0.0,89.25,0,0
2,0,0,4,0,0,2,25,2018,5,31,4,0.0,0.0,0.0,146.11,0,0
2,0,1,5,0,0,0,180,2018,5,23,3,0.0,0.0,0.0,80.75,0,1
1,0,2,2,0,1,0,31,2018,11,13,2,0.6931471805599453,0.0,1.0986122886681098,67.0,0,1
1,0,1,0,0,0,0,2,2018,1,4,4,0.0,0.0,0.0,76.0,1,1
1,0,0,2,0,0,0,188,2018,6,15,4,0.0,0.0,0.0,130.0,0,0
2,0,0,2,3,0,1,99,2018,4,8,4,0.0,0.0,0.0,85.5,1,0
2,0,2,2,3,0,0,54,2018,11,18,4,0.0,0.0,0.0,74.8,1,1
2,0,2,4,0,0,2,29,2018,3,12,4,0.0,0.0,0.0,100.33,0,1
2,0,0,3,0,1,0,104,2018,5,17,4,0.0,0.0,0.0,135.9,1,1
2,0,0,1,0,0,2,2,2018,7,30,4,0.0,0.0,0.0,156.0,0,1
2,0,2,1,0,0,2,27,2018,6,26,4,0.0,0.0,0.0,152.67,0,0
2,1,1,0,0,0,0,32,2018,4,11,4,0.0,0.0,0.0,121.5,0,0
2,1,1,3,0,0,0,40,2018,3,10,4,0.0,0.0,0.0,98.1,2,1
2,0,0,3,0,0,0,19,2017,10,6,3,0.6931471805599453,0.6931471805599453,0.0,90.0,0,1
3,0,1,2,0,0,0,75,2018,11,7,4,0.0,0.0,0.0,157.25,3,1
2,0,0,3,0,0,0,160,2017,12,30,3,0.0,0.0,0.0,70.0,0,1
2,0,0,2,1,0,0,102,2017,10,16,3,0.0,0.0,0.0,109.0,0,1
2,0,0,1,0,0,0,1,2018,4,8,4,0.0,0.0,0.0,101.0,1,1
2,0,1,2,0,0,0,39,2018,3,14,4,0.0,0.0,0.0,81.9,0,1
1,0,0,3,1,0,0,88,2018,5,3,3,0.0,0.0,0.0,96.0,0,1
2,0,2,5,1,0,0,159,2018,7,22,4,0.0,0.0,0.0,132.96,1,0
2,0,1,3,3,0,0,19,2018,11,24,4,0.0,0.0,0.0,74.8,2,1
2,0,0,2,1,0,0,265,2018,6,24,3,0.0,0.0,0.0,115.0,1,0
2,0,0,3,0,0,2,54,2018,3,31,4,0.0,0.0,0.0,104.4,2,1
2,0,0,2,1,0,0,346,2018,9,13,3,0.0,0.0,0.0,115.0,1,0
2,0,2,3,0,0,0,73,2018,5,12,4,0.0,0.0,0.0,119.85,1,1
2,0,0,1,0,0,0,56,2018,6,8,3,0.0,0.0,0.0,120.0,0,1
1,0,2,1,1,0,0,23,2018,1,2,3,0.0,0.0,0.0,79.0,0,1
2,0,0,3,0,0,0,43,2017,10,29,4,0.0,0.0,0.0,96.3,3,1
2,0,2,3,0,0,0,21,2017,12,25,3,0.0,0.0,0.0,58.0,1,1
2,1,0,4,0,0,0,161,2018,7,27,4,0.0,0.0,0.0,114.75,2,0
1,0,0,3,0,0,0,19,2017,10,6,3,0.6931471805599453,0.6931471805599453,0.0,80.0,0,1
2,0,2,1,3,0,0,96,2018,8,27,3,0.0,0.0,0.0,63.75,0,1
1,0,2,2,0,0,0,124,2018,11,6,4,0.0,0.0,0.0,146.03,3,1
1,0,0,1,0,0,0,45,2018,4,7,4,0.0,0.0,0.0,112.5,0,0
2,0,0,1,0,0,0,9,2018,4,12,4,0.0,0.0,0.0,131.0,1,1
1,0,1,3,3,0,0,69,2018,11,7,4,0.0,0.0,0.0,173.0,1,0
2,0,0,2,0,0,0,18,2018,6,17,4,0.0,0.0,0.0,150.0,0,0
1,0,0,3,0,0,0,163,2018,10,5,3,0.0,0.0,0.0,100.8,0,0
1,0,1,4,0,0,0,179,2018,7,4,4,0.0,0.0,0.0,66.76,1,1
2,2,0,2,0,0,4,39,2018,7,20,4,0.0,0.0,0.0,198.9,0,0
2,0,2,1,1,0,0,220,2018,9,17,3,0.0,0.0,0.0,172.0,0,0
1,0,0,1,3,0,0,183,2018,10,11,4,0.0,0.0,0.0,98.1,0,0
2,0,0,2,0,0,0,30,2018,3,4,4,0.0,0.0,0.0,88.4,0,1
2,0,0,3,0,0,2,261,2018,10,13,3,0.0,0.0,0.0,90.95,2,1
2,0,0,1,0,0,0,43,2017,10,23,4,0.0,0.0,0.0,0.0,0,1
2,0,1,2,0,0,0,233,2018,10,14,3,0.0,0.0,0.0,90.0,0,0
1,0,2,5,3,0,0,101,2018,7,3,4,0.0,0.0,0.0,103.5,0,0
2,0,0,2,0,0,0,4,2017,8,19,4,0.0,0.0,0.0,106.0,1,1
2,0,0,3,0,0,0,193,2017,10,15,3,0.0,0.0,0.0,65.0,0,0
2,0,0,3,3,0,0,7,2018,1,20,4,0.0,0.0,0.0,79.67,1,1
2,0,0,3,0,0,0,72,2018,3,31,4,0.0,0.0,0.0,67.22,1,1
2,0,1,1,0,0,0,35,2017,10,26,3,0.0,0.0,0.0,76.5,1,1
1,0,0,1,0,0,0,54,2017,11,18,2,0.0,0.0,0.0,65.0,0,1
2,0,2,6,3,0,0,67,2018,12,17,4,0.0,0.0,0.0,74.8,1,1
1,0,0,2,0,0,0,181,2018,10,11,4,0.0,0.0,0.0,120.0,0,0
1,0,0,1,0,0,0,1,2017,11,10,1,0.0,0.0,0.0,0.0,0,1
1,0,0,1,0,0,0,1,2017,11,17,4,0.0,0.0,0.0,91.0,0,1
2,0,0,1,0,1,0,95,2018,6,4,4,0.0,0.0,0.0,106.71,1,1
2,0,0,2,0,0,0,69,2018,4,27,4,0.0,0.0,0.0,105.3,0,0
2,0,0,3,0,0,0,24,2018,12,7,4,0.0,0.0,0.0,106.33,1,1
2,0,1,0,0,0,0,82,2018,4,25,4,0.0,0.0,0.0,74.15,1,0
2,0,1,1,3,1,0,120,2018,5,2,4,0.0,0.0,0.0,103.5,1,1
2,0,1,2,3,0,0,15,2018,4,15,4,0.0,0.0,0.0,106.33,0,0
2,0,0,2,0,0,0,8,2018,3,18,4,0.0,0.0,0.0,125.0,1,1
2,0,0,3,0,0,0,2,2018,12,14,2,0.6931471805599453,0.0,0.6931471805599453,86.0,1,1
3,0,1,4,0,0,5,26,2018,9,28,4,0.0,0.0,0.0,169.52,2,0
2,0,1,2,3,0,0,79,2018,3,21,4,0.0,0.0,0.0,76.5,0,1
2,0,2,4,0,0,1,292,2018,10,23,4,0.0,0.0,0.0,163.63,1,0
2,0,1,2,0,0,0,106,2018,7,11,4,0.0,0.0,0.0,108.3,0,0
1,0,1,0,0,0,0,5,2018,6,20,2,0.0,0.0,0.0,95.0,0,1
2,0,2,0,0,0,0,180,2018,8,28,4,0.0,0.0,0.0,96.3,0,0
2,0,0,2,0,0,0,17,2018,8,19,4,0.0,0.0,0.0,136.0,1,0
2,0,2,5,0,0,2,68,2018,7,16,4,0.0,0.0,0.0,123.17,0,0
