no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,1,1,0,0,0,0,3,2017,8,23,4,0,0,0,90.0,3,1
2,0,1,2,0,0,3,9,2018,2,12,3,0,0,0,48.67,0,1
2,0,2,2,0,0,0,24,2018,12,25,4,0,0,0,95.2,1,1
2,0,0,3,0,0,0,23,2018,6,21,4,0,0,0,127.67,0,0
2,1,0,2,0,0,3,9,2018,9,8,4,0,0,0,201.5,2,1
2,0,0,2,1,0,0,102,2017,10,16,3,0,0,0,109.0,0,1
2,0,1,1,3,0,0,99,2018,8,29,4,0,0,0,107.1,0,0
1,0,0,1,0,0,0,0,2018,2,16,4,0,0,0,85.0,0,1
2,1,2,4,0,0,0,47,2018,8,20,4,0,0,0,129.99,1,1
2,0,2,3,0,0,0,131,2018,4,16,4,0,0,0,82.79,2,1
1,0,1,4,0,0,0,87,2018,3,9,4,0,0,0,53.67,1,1
1,0,2,2,0,0,0,209,2018,11,6,4,0,0,0,152.1,1,0
1,0,1,1,0,0,0,5,2017,10,19,2,0,0,0,80.0,0,1
2,0,0,4,0,0,3,166,2018,6,29,4,0,0,0,99.45,0,0
2,0,2,2,0,0,0,30,2018,8,28,4,0,0,0,111.83,1,1
3,0,2,2,0,0,3,71,2018,9,10,4,0,0,0,168.3,2,1
1,0,1,2,0,0,0,33,2018,11,7,4,0,0,0,197.0,2,1
3,0,1,2,3,0,0,14,2017,9,14,4,0,0,0,100.87,1,1
2,0,1,0,3,0,0,28,2018,10,3,4,0,0,0,126.0,0,0
2,0,0,2,0,0,3,1,2018,3,1,1,1,0,1,0.0,1,1
1,0,1,1,0,0,3,17,2018,9,12,4,0,0,0,114.73,1,1
2,1,0,2,0,0,3,50,2018,7,20,4,0,0,0,157.9,2,1
2,0,0,1,0,0,0,0,2018,1,2,3,0,0,0,72.0,0,1
2,0,0,2,0,1,3,88,2018,9,16,4,0,0,0,158.4,1,1
2,0,0,2,0,0,3,78,2018,3,22,3,0,0,0,69.7,0,1
2,0,0,3,0,0,3,68,2018,10,18,4,0,0,0,132.3,2,1
1,0,1,2,0,0,0,180,2018,10,10,3,0,0,0,120.0,1,0
2,0,0,2,0,0,3,85,2018,1,22,3,0,0,0,66.6,0,1
2,0,0,2,0,0,0,68,2017,9,29,3,0,0,0,65.0,0,1
1,0,1,0,0,0,0,16,2018,12,4,2,1,5,54,65.0,2,1
2,0,0,2,0,0,0,1,2017,8,20,4,0,0,0,106.0,3,1
1,0,0,2,0,0,0,164,2017,10,2,3,0,0,0,100.0,0,1
1,0,0,1,0,0,0,53,2018,10,14,3,0,0,0,120.0,0,1
2,0,1,3,0,0,3,116,2018,4,28,4,0,0,0,101.58,1,0
1,0,0,3,0,0,0,71,2018,6,14,3,0,0,0,120.0,0,1
2,0,0,1,3,0,0,181,2018,7,8,4,0,0,0,85.5,1,0
1,0,0,1,0,0,0,84,2018,9,7,2,0,0,0,65.0,0,1
2,0,0,3,0,0,0,103,2018,5,4,3,0,0,0,80.0,0,1
2,0,1,0,0,0,0,15,2018,9,12,4,0,0,0,99.0,0,0
1,0,0,1,0,0,0,17,2018,12,9,2,0,0,0,65.0,0,1
2,0,1,3,0,0,0,65,2018,5,9,4,0,0,0,119.85,1,1
2,1,0,1,0,0,0,91,2018,10,7,4,0,0,0,121.5,2,0
2,0,0,3,0,0,3,41,2018,2,4,4,0,0,0,82.45,0,0
2,0,1,3,0,0,0,162,2018,8,15,4,0,0,0,105.83,1,0
3,0,2,2,0,0,4,3,2018,12,24,4,0,0,0,110.5,1,1
2,1,2,1,0,0,0,34,2018,8,13,4,0,0,0,152.1,0,1
1,0,1,2,0,0,0,123,2018,4,29,4,0,0,0,93.9,0,0
3,0,3,5,1,0,0,185,2018,10,2,3,0,0,0,150.4,0,0
2,0,1,2,0,0,0,193,2018,6,20,4,0,0,0,120.0,0,0
2,0,0,3,3,0,0,57,2018,11,17,4,0,0,0,79.2,2,1
2,0,0,3,0,0,3,19,2018,8,23,4,0,0,0,156.0,2,1
2,0,1,1,3,0,0,72,2018,5,7,4,0,0,0,116.1,1,1
